"id" "values" "real_avg" "alpha_0.25" "alpha_0.5" "alpha_0.75" "alpha_0.05" "alpha_0.95" "closest_id" "closest_difference"
1 59 59 44.25 29.5 14.75 56.05 2.95 4 2.95
2 64 61.5 59.0625 46.75 27.0625 63.6025 6.0025 4 2.1025
3 22 48.3333333333333 31.265625 34.375 25.796875 24.080125 6.802375 2 13.9583333333333
4 52 49.25 46.81640625 43.1875 32.34765625 50.60400625 9.06225625000001 4 1.35400625
5 21 43.6 27.4541015625 32.09375 29.5107421875 22.4802003125 9.65914343750001 2 11.50625
6 24 40.3333333333333 24.863525390625 28.046875 28.133056640625 23.924010015625 10.376186265625 3 12.2002766927083
7 30 38.8571428571429 28.7158813476562 29.0234375 28.5997924804688 29.6962005007812 11.3573769523438 4 9.16094235636161
8 100 46.5 82.1789703369141 64.51171875 46.4498443603516 96.4848100250391 15.7895081047266 3 0.0501556396484375
9 92 51.5555555555556 89.5447425842285 78.255859375 57.8373832702637 92.2242405012519 19.6000326994902 3 6.28182771470811
10 26 49 41.8861856460571 52.1279296875 49.8780374526978 29.3112120250626 19.9200310645157 3 0.878037452697754
11 11 45.5454545454545 18.7215464115143 31.56396484375 40.1585280895233 11.9155606012531 19.4740295112899 3 5.38692645593123
12 43 45.3333333333333 36.9303866028786 37.281982421875 40.8688960671425 41.4457780300627 20.6503280357255 4 3.88755530327068
13 98 49.3846153846154 82.7325966507196 67.6409912109375 55.1516720503569 95.1722889015031 24.5178116339392 3 5.76705666574148
14 5 46.2142857142857 24.4331491626799 36.3204956054688 42.6137540377676 9.50861444507516 23.5419210522422 3 3.60053167651807
15 95 49.4666666666667 77.35828729067 65.6602478027344 55.7103155283257 90.7254307222538 27.1148249996301 3 6.24364886165907
16 31 48.3125 42.5895718226675 48.3301239013672 49.5327366462443 33.9862715361127 27.3090837496486 2 0.0176239013671875
17 39 47.7647058823529 39.8973929556669 43.6650619506836 46.8995524846832 38.7493135768056 27.8936295621662 3 0.865153397669715
18 10 45.6666666666667 17.4743482389167 26.8325309753418 37.6746643635124 11.4374656788403 26.9989480840579 3 7.99200230315424
19 90 48 71.8685870597292 58.4162654876709 50.7559982726343 86.071873283942 30.149000679855 3 2.75599827263432
20 88 50 83.9671467649323 73.2081327438354 60.0669987044757 87.9035936641971 33.0415506458622 3 10.0669987044757
21 69 50.9047619047619 72.7417866912331 71.1040663719177 62.3002490283568 69.9451796832099 34.8394731135691 3 11.3954871235949
22 80 52.2272727272727 78.1854466728083 75.5520331859589 66.7251867712676 79.4972589841605 37.0974994578907 3 14.4979140439949
23 93 54 89.2963616682021 84.2760165929794 73.2938900784507 92.324862949208 39.8926244849961 5 14.1073755150039
24 91 55.5416666666667 90.5740904170505 87.6380082964897 77.720417558838 91.0662431474604 42.4479932607463 5 13.0936734059203
25 15 53.92 33.8935226042626 51.3190041482449 62.0403131691285 18.803312157373 41.075593597709 2 2.60099585175514
26 41 53.4230769230769 39.2233806510657 46.1595020741224 56.7802348768464 39.8901656078686 41.0718139178236 3 3.35715795376947
27 22 52.2592592592593 26.3058451627664 34.0797510370612 48.0851761576348 22.8945082803934 40.1182232219324 3 4.17408310162447
28 84 53.3928571428571 69.5764612906916 59.0398755185306 57.0638821182261 80.9447254140197 42.3123120608358 3 3.67102497536894
29 33 52.6896551724138 42.1441153226729 46.0199377592653 51.0479115886696 35.397236270701 41.846696457794 3 1.64174358374423
30 42 52.3333333333333 42.0360288306682 44.0099688796327 48.7859336915022 41.6698618135351 41.8543616349043 3 3.54739964183116
31 35 51.7741935483871 36.7590072076671 39.5049844398163 45.3394502686266 35.3334930906768 41.5116435531591 3 6.43474327976047
32 9 50.4375 15.9397518019168 24.2524922199082 36.25458770147 10.3166746545338 39.8860613755011 5 10.5514386244989
33 66 50.9090909090909 53.4849379504792 45.1262461099541 43.6909407761025 63.2158337327267 41.1917583067261 1 2.57584704138829
34 83 51.8529411764706 75.6212344876198 64.063123054977 53.5182055820769 82.0107916866363 43.2821703913898 3 1.66526440560627
35 83 52.7428571428571 81.155308621905 73.5315615274885 60.8886541865576 82.9505395843318 45.2680618718203 5 7.47479527103686
36 44 52.5 53.2888271554762 58.7657807637443 56.6664906399182 45.9475269792166 45.2046587782293 1 0.788827155476241
37 55 52.5675675675676 54.5722067888691 56.8828903818721 56.2498679799387 54.5473763489608 45.6944258393178 4 1.97980878139327
38 57 52.6842105263158 56.3930516972173 56.9414451909361 56.437400984954 56.877368817448 46.2597045473519 1 3.70884117090148
39 80 53.3846153846154 74.0982629243043 68.470722595468 62.3280507387155 78.8438684408724 47.9467193199843 5 5.43789606463108
40 80 54.05 78.5245657310761 74.235361297734 66.7460380540366 79.9421934220436 49.5493833539851 5 4.5006166460149
41 34 53.5609756097561 45.131141432769 54.117680648867 58.5595285405275 36.2971096711022 48.7719141862858 2 0.556705039110909
42 47 53.4047619047619 46.5327853581923 50.5588403244335 55.6696464053956 46.4648554835551 48.6833184769716 3 2.2648845006337
43 15 52.5116279069767 22.8831963395481 32.7794201622168 45.5022348040467 16.5732427741778 46.999152553123 5 5.51247535385377
44 71 52.9318181818182 58.970799084887 51.8897100811084 51.876676103035 68.2786621387089 48.1991949254668 2 1.0421081007098
45 33 52.4888888888889 39.4926997712218 42.4448550405542 47.1575070772763 34.7639331069354 47.4392351791935 5 5.04965370969541
46 98 53.4782608695652 83.3731749428054 70.2224275202771 59.8681303079572 94.8381966553468 49.9672734202338 5 3.51098744933142
47 41 53.2127659574468 51.5932937357014 55.6112137601385 55.1510977309679 43.6919098327673 49.5189097492221 1 1.61947222174545
48 60 53.3541666666667 57.8983234339253 57.8056068800693 56.3633232982259 59.1845954916384 50.042964261761 3 3.00915663155926
49 3 52.3265306122449 16.7245808584813 30.4028034400346 43.0224924736694 5.80922977458192 47.6908160486729 5 4.63571456357195
50 20 51.68 19.1811452146203 25.2014017200173 37.2668693552521 19.2904614887291 46.3062752462393 5 5.3737247537607
51 65 51.9411764705882 53.5452863036551 45.1007008600087 44.2001520164391 62.7145230744365 47.2409614839273 1 1.60410983306685
52 61 52.1153846153846 59.1363215759138 53.0503504300043 48.4001140123293 61.0857261537218 47.928913409731 2 0.934965814619716
53 93 52.8867924528302 84.5340803939784 73.0251752150022 59.550085509247 91.4042863076861 50.1824677392444 5 2.70432471358576
54 56 52.9444444444444 63.1335200984946 64.5125876075011 58.6625641319352 57.7702143153843 50.4733443522822 5 2.47110009216224
55 55 52.9818181818182 57.0333800246237 59.7562938037505 57.7469230989514 55.1385107157692 50.6996771346681 4 2.15669253395103
56 31 52.5892857142857 37.5083450061559 45.3781469018753 51.0601923242136 32.2069255357885 49.7146932779347 3 1.52909339007215
57 2 51.7017543859649 10.877086251539 23.6890734509376 38.7951442431602 3.51034627678942 47.328958614038 5 4.37279577192695
58 70 52.0172413793103 55.2192715628847 46.8445367254688 46.5963581823701 66.6755173138395 48.4625106833361 1 3.2020301835744
59 52 52.0169491525424 52.8048178907212 49.4222683627344 47.9472686367776 52.733775865692 48.6393851491693 4 0.716826713149601
60 20 51.4833333333333 28.2012044726803 34.7111341813672 40.9604514775832 21.6366887932846 47.2074158917108 5 4.27591744162255
61 8 50.7704918032787 13.0503011181701 21.3555670906836 32.7203386081874 8.68183443966423 45.2470450971252 5 5.52344670615344
62 19 50.258064516129 17.5125752795425 20.1777835453418 29.2902539561405 18.4840917219832 43.934692842269 5 6.32337167386005
63 89 50.8730158730159 71.1281438198856 54.5888917726709 44.2176904671054 85.4742045860992 46.1879582001555 2 3.71587589965502
64 35 50.625 44.0320359549714 44.7944458863355 41.9132678503291 37.523710229305 45.6285602901478 5 4.99643970985225
65 26 50.2461538461538 30.5080089887429 35.3972229431677 37.9349508877468 26.5761855114652 44.6471322756404 5 5.59902157051348
66 51 50.2575757575758 45.8770022471857 43.1986114715839 41.2012131658101 49.7788092755733 44.9647756618583 4 0.478766482002499
67 63 50.4477611940299 58.7192505617964 53.0993057357919 46.6509098743576 62.3389404637787 45.8665368787654 2 2.65154454176208
68 19 49.9852941176471 28.9298126404491 36.049652867896 39.7381824057682 21.1669470231889 44.5232100348272 5 5.4620840828199
69 72 50.304347826087 61.2324531601123 54.024826433948 47.8036368043261 69.4583473511594 45.8970495330858 3 2.50071102176082
70 43 50.2 47.5581132900281 48.512413216974 46.6027276032446 44.322917367558 45.7521970564315 2 1.68758678302601
71 65 50.4084507042254 60.639528322507 56.756206608487 51.2020457024335 63.9661458683779 46.7145872036099 3 0.7935949982081
72 10 49.8472222222222 22.6598820806268 33.3781033042435 40.9015342768251 12.6983072934189 44.8788578434294 5 4.96836437879278
73 3 49.2054794520548 7.91497052015669 18.1890516521217 31.4261507076188 3.48491536467094 42.784914951258 5 6.42056450079684
74 7 48.6351351351351 7.22874263003917 12.5945258260609 25.3196130307141 6.82424576823355 40.9956692036951 5 7.63946593144008
75 64 48.84 49.8071856575098 38.2972629130304 34.9897097730356 61.1412122884117 42.1458857435103 1 0.967185657509788
76 57 48.9473684210526 55.2017964143774 47.6486314565152 40.4922823297767 57.2070606144206 42.8885914563348 2 1.29873696453742
77 84 49.4025974025974 76.8004491035944 65.8243157282576 51.3692117473325 82.660353030721 44.944161883518 3 1.96661434473511
78 72 49.6923076923077 73.2001122758986 68.9121578641288 56.5269088104994 72.533017651536 46.2969537893421 5 3.39535390296555
79 84 50.126582278481 81.3000280689747 76.4560789320644 63.3951816078745 83.4266508825768 48.182106099875 5 1.94447617860597
80 48 50.1 56.3250070172437 62.2280394660322 59.5463862059059 49.7713325441288 48.1730007948813 4 0.328667455871177
81 47 50.0617283950617 49.3312517543109 54.6140197330161 56.4097896544294 47.1385666272064 48.1143507551372 1 0.73047664075083
82 80 50.4268292682927 72.3328129385777 67.3070098665081 62.3073422408221 78.3569283313603 49.7086332173804 5 0.718196050912326
83 56 50.4939759036145 60.0832032346444 61.653504933254 60.7305066806166 57.117846416568 50.0232015565114 5 0.470774347103116
